"Check for Updates","アップデートをチェック","アップデートを確認"
"Uninstall TotalFinder","TotalFinder をアンインストール","TotalFinder をアンインストールする"
"Expired on %@","%@に使用期限が切れます","%@ に期限切れ"
"This ALPHA version will expire in %@!","このアルファバージョンは、あと%@で使用期限が切れます！","このアルファ版はあと %@で期限切れになります!"
"less than a minute","1分以内","1 分未満"
"1 minute","1分","1 分"
"less than 5 seconds","5秒以内","5 秒未満"
"less than 10 seconds","10秒以内","10 秒未満"
"less than 20 seconds" = "20 秒未満";
"half a minute" = "30秒";"less than 20 seconds","30 秒","20 秒未満"
"%.0f minutes","%.0f分","%.0f 分"
"about 1 hour","約1時間","およそ 1 時間"
"about %.0f hours","約%.0f時間","およそ %.0f 時間"
"1 day","1日","1 日"
"%.0f days","%.0f日","%.0f 日"
"about 1 month","約1ヶ月","およそ 1 ヶ月"
"%.0f months","%.0fヶ月","%.0f ヶ月"
"about 1 year","約1年","およそ 1 年"
"over %.0f years","%.0f年以上","%.0f 年"
"Disconnect","接続を切る","切断"
"Connect","接続する","接続"
"Unable to connect with kernel extension! Do you have TotalFinder.kext properly installed?","カーネル拡張と接続できません！ TotalFinder.kext を適切にインストールしましたか？","カーネル拡張機能に接続できませんでした!\nTotalFinder.kext が正しくインストールされているか確認してください。"
"Do you really want reset to defaults?","本当に最初の設定に戻しますか？","TotalFinder をデフォルトの状態にリセットします。よろしいですか?"
"This will restore initial TotalFinder settings.","この操作は TotalFinder を最初の設定に戻します。","TotalFinder は初期の状態に戻ります。"
"Really want to uninstall TotalFinder?","本当に TotalFinder をアンインストールしますか？","TotalFinder をアンインストールします。よろしいですか?"
"This will launch an uninstall script which will remove TotalFinder from this computer and restore your original Finder behavior.","この操作は TotalFinder をアンインストールするスクリプトを実行し、Finder を元に戻します。","アンインストール・スクリプトが起動し、TotalFinder を削除します。Finder は元の状態に戻ります。"
"Show System Files","不可視ファイルを表示","システムファイルを表示"
"Folders On Top","フォルダを上に並べる","フォルダを上位に表示"
"Narrow Tabs Bar","タブバーの幅を狭くする","細いタブバーを使う"
"Pin Visor","スライド固定","バイザーを固定"
"TotalFinder Preferences…","TotalFinder の環境設定…","環境設定…"
"Visit Homepage…","ホームページを開く…","ホームページ (英語) を開く…"
