"Asepsis","隔離","Asepsis"
"Tweaks","設定","チューニング"
"Visor Feature","バイザー機能を使う","バイザー機能を有効にする"
"a system-wide window sliding from the bottom on a hot-key","ホットキーで Finder のウィンドウを下からスライド表示させます。","ホットキーでいつでもウィンドウを表示できます"
"Activation:","ホットキー","ホットキー:"
"Control:","コントロール","制御:"
"Hide on ESC","ESC キーで隠す","ESCキーで隠す"
"Pin Visor","スライド固定","バイザーを固定"
"Animation:","ウィンドウ","表示効果:"
"Fade Window","ウィンドウをフェード","ウィンドウをフェードイン/アウト"
"Screen:","スクリーン:","画面:"
"Show on all Spaces","すべてのスペースで表示","すべての操作スペースで表示"
"Show on top of the Dock","Dock よりも前面に表示","ドックの上にのせる"
"Free Form Window","ウィンドウのサイズ変更を許可","ウィンドウサイズを可変とする"
"Asepsis Feature","隔離機能を使う","Asepsis の機能を有効にする"
"prevents .DS_Store files to be created in local folders","ローカルフォルダに .DS_Store ファイルをつくらないようにします","ローカルフォルダに .DS_Store ファイルを作成させません"
".DS_Store files will be redirected into",".DS_Store を次の場所に隔離する",".DS_Store ファイルを次のフォルダへ移動する"
"this folder should be set as writable for all users of TotalFinder","このフォルダへのすべてのユーザの書き込みを許可する必要があります","すべての TotalFinder のユーザが書き込めなければなりません"
"Launch Migration Assistant","隔離アシスタントを起動","移行アシスタントを起動する"
"TotalFinder.kext status","TotalFinder.kext のステータス","TotalFinder.kext の状況"
"Unable to connect","接続できません","カーネル拡張機能に接続できませんでした!\nTotalFinder.kext が正しくインストールされているか確認してください。"
"Advanced:","より進んだ機能","詳細:"
"Don't write .DS_Store to Network","ネットワーク上に .DS_Store をつくらない","ネットワーク上に .DS_Store を作成しない"
"Reset TotalFinder to defaults","最初の設定に戻す","TotalFinder をデフォルトに戻す"
"File Browser:","ファイルブラウザ","ファイルブラウザ:"
"Show System Files","不可視ファイルを表示","システムファイルを表示"
"Folders on Top","フォルダを上に並べる","フォルダを上位に表示"
"Always Maximize","常に最大化する","常に最大化"
"Menu and Dock:","メニューと Dock","メニューバーと Dock:"
"Remove TotalFinder from Status Menu","ステータスメニューのアイコンを取り除く","メニューバーに TotalFinder を表示しない"
"Keep Original Finder Dock Icon","Dock 内の Finder アイコンはオリジナルを使う","Finder のアイコンを変えない"
"Experimental:","実験的な機能","開発段階:"
"Freelance Windows","複数のウィンドウを許可","ウィンドウフリーランス"
"Use narrow Tabs Bar","タブバーの幅を狭くする","細いタブバーを使う"
"Check for updates…","アップデートをチェック…","アップデートを確認…"
